"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","Ozone","PM2.5"
2020-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,30,36.75
2020-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,42
2020-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,12.5
2020-01-12,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,26
2020-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,27.5
2020-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32,33
2020-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,18.3333333333333
2020-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,30,24
2020-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,17
2020-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,6.5
2020-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,14.5
2020-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,24
2020-01-13,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,36,NA
2020-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,27.5,15
2020-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,13.5
2020-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,1.5
2020-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,8.5
2020-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2020,30.5,20.3333333333333
2020-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,5.5
2020-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,29,8
2020-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,18
2020-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,13
2020-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,29.5
2020-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,28
2020-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,28,6
2020-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,25.5,25.25
2020-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,24.75
2020-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,15.5
2020-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,10
2020-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,21.5
2020-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2020,29,33.25
2020-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,19.6666666666667
2020-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,29,21.5
2020-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,28
2020-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,25
2020-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,36.3333333333333
2020-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,48
2020-01-15,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,44,4
2020-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,24.5,33
2020-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,39
2020-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,24
2020-01-15,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,11
2020-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,35
2020-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2020,22,47.75
2020-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,37.3333333333333
2020-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,23,37.5
2020-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,39.5
2020-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,24.5
2020-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,55
2020-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,57
2020-01-16,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,44,NA
2020-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,27.5,45.6666666666667
2020-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,53
2020-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,29.5
2020-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,50.5
2020-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2020,25.5,57
2020-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,44.5
2020-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,31,47.5
2020-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,44
2020-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,27
2020-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,51
2020-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,52
2020-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,40,15
2020-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,24,37.75
2020-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,45
2020-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,29.5
2020-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,19
2020-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,43.5
2020-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2020,27,51
2020-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,42
2020-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,26,50.5
2020-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,39.5
2020-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,29
2020-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,52
2020-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,44
2020-01-18,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,31,4
2020-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,22.5,52.5
2020-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,51.6666666666667
2020-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,26
2020-01-18,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,5
2020-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,40
2020-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2020,31,46.5
2020-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,30.3333333333333
2020-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,27,45
2020-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,41
2020-01-19,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,19
2020-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,56.5
2020-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,54.5
2020-01-19,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,36,NA
